,Institution,Subject,Degree_type_and_admission_semester,Accept_or_reject,Method_of_communication,Date,GPA,GRE_Verbal,GRE_Quantitative,GRE_Writing,GRE_Subject,Student_classification,Date_posted,Comments,American,Papers,Research,Decision
14,University Of Texas At Austin,Physics,PhD (F19),Accepted, E-mail,25 Mar 2019,3.87,156.0,169.0,3.5,910.0,U,25 Mar 2019,"Got a ""Financial Aid Letter"" email from UT Austin, but no admission information; then logged into My Status and saw the status is admitted.",0,0.0,0.0,1
15,University Of Texas At Austin,Physics,PhD (F19),Accepted, E-mail,25 Mar 2019,3.7,155.0,170.0,4.0,880.0,U,25 Mar 2019,,0,0.0,0.0,1
17,Purdue University,Physics And Astronomy,PhD (F19),Rejected, E-mail,25 Mar 2019,3.93,157.0,155.0,4.0,570.0,A,25 Mar 2019,"Astro and Plasma. Got an email to check the website.
Pretty upset that I didn't get in. I'm pretty sure I managed to get this far long thanks to one of my letters of rec having got his PhD from Purdue. GRE scores are what probably kept me down",1,0.0,0.0,0
18,"University Of Massachusetts, Lowell",Physics,PhD (F18),Accepted, E-mail,13 Mar 2019,3.24,164.0,157.0,4.0,570.0,A,25 Mar 2019,Astrophysics and Cosmology - Accepted via email day after Skype interview with a professor. Waiting on decision from one school before I take this offer,1,0.0,0.0,1
19,University Of Delaware (UDel),Physics And Astronomy,PhD (F19),Accepted, Website,11 Mar 2019,3.5,151.0,170.0,3.0,980.0,U,23 Mar 2019,,0,0.0,0.0,1
20,University Of Kentucky,Physics,PhD (F19),Accepted, E-mail,14 Mar 2019,3.6,154.0,164.0,4.0,940.0,I,22 Mar 2019,hep-th,0,0.0,0.0,1
21,"University Of Illinois, Urbana Champagne",Physics,PhD (F19),Rejected, E-mail,20 Mar 2019,3.87,160.0,165.0,3.5,710.0,A,21 Mar 2019,CME,1,0.0,0.0,0
22,University Of Illinois  Urbana Champagne UIUC,Physics,PhD (F19),Rejected, E-mail,20 Mar 2019,3.58,159.0,160.0,4.0,610.0,A,21 Mar 2019,"CMT, 1 first author pub, 3 yrs research with prof, 2 conference talks, medal winner at Sigma Xi, GPA is for Masters degree.  I'm sure the PGRE is what killed me, as well as coming from unknown schools.",1,1.0,1.0,0
23,University Of Pennsylvania,Physics,PhD (F19),Rejected, Website,19 Mar 2019,3.69,161.0,170.0,4.5,910.0,I,20 Mar 2019,"TTPB: Different person from the one you addressed, but there was nothing on my ApplyWeb page when the email first came either. However, when I checked a couple of hours ago, there was a 'View Decision Letter' option in between Print Receipt and View Checklist. All the best!",0,0.0,0.0,0
24,University Of Delaware (UDel),Physics,PhD (F19),Wait listed, E-mail,19 Mar 2019,3.3,156.0,153.0,4.0,630.0,A,19 Mar 2019,Emailed for status and was informed I am on the secondary list (wait list).,1,0.0,0.0,0
25,Penn State (Pennsylvania State University),Physics,PhD (F19),Rejected, E-mail,18 Mar 2019,3.89,159.0,170.0,3.5,990.0,I,19 Mar 2019,Applied for HEP/Cosmology with no reasearch experience.,0,0.0,0.0,0
26,Penn State (Pennsylvania State University),Physics,PhD (F19),Rejected, E-mail,14 Mar 2019,2.9,152.0,157.0,3.5,530.0,A,18 Mar 2019,"Currently getting a MS in Physics. 1 paper in submission to ApJ, another in the works. 6 conference presentations. At least 1 very strong LOR. 3 workshops attended between HPC and Astrophysics. Teaching experience.",1,1.0,0.0,0
27,Columbia University,Physics,PhD (F19),Rejected, E-mail,11 Mar 2019,2.9,152.0,157.0,3.5,530.0,A,18 Mar 2019,"Currently getting a MS in Physics. 1 paper in submission to ApJ, another in the works. 6 conference presentations. At least 1 very strong LOR. 3 workshops attended between HPC and Astrophysics. Teaching experience.",1,1.0,0.0,0
28,New York University,Physics,PhD (F19),Rejected, E-mail,13 Mar 2019,2.9,152.0,157.0,3.5,530.0,A,18 Mar 2019,"Currently getting a MS in Physics. 1 paper in submission to ApJ, another in the works. 6 conference presentations. At least 1 very strong LOR. 3 workshops attended between HPC and Astrophysics. Teaching experience.",1,1.0,0.0,0
29,University Of Illinois Urbana-Champaign,Physics,PhD (F19),Rejected, E-mail,8 Mar 2019,2.9,152.0,157.0,3.5,530.0,A,18 Mar 2019,"Currently getting a MS in Physics. 1 paper in submission to ApJ, another in the works. 6 conference presentations. At least 1 very strong LOR. 3 workshops attended between HPC and Astrophysics. Teaching experience.",1,1.0,0.0,0
31,University Of Washington,Physics,PhD (F19),Rejected, E-mail,15 Mar 2019,3.96,159.0,157.0,3.0,760.0,A,17 Mar 2019,hep-th. 4 summer internships. 2 conference presentations. 2 very good LORs (one of which is a UW alum).,1,0.0,0.0,0
32,University Of Washington,Physics,PhD (F19),Wait listed, E-mail,15 Mar 2019,3.7,158.0,163.0,5.0,650.0,A,16 Mar 2019,,1,0.0,0.0,0
33,City University Of New York (CUNY),Physics,PhD (F19),Other, Other,16 Mar 2019,3.38,160.0,170.0,3.0,890.0,I,16 Mar 2019,"PhysicsGPA-3.6, Research: 1.5 years, 6 months and a summer project in GR(dark energy and black holes), 1 presentation at an International Conference, 1 article submitted to a journal and working on another.",0,0.0,1.0,0
34,University Of Washington,Physics,PhD (F19),Wait listed, E-mail,15 Mar 2019,3.9,162.0,162.0,4.0,850.0,A,15 Mar 2019,Applied for hep-th,1,0.0,0.0,0
35,University Of Washington,Physics,PhD (F19),Rejected, E-mail,15 Mar 2019,3.75,155.0,162.0,4.0,920.0,A,15 Mar 2019,"Went here as undergrad. Triple major in physics, math, and astro with great marks in physics as honors student. Doesnt really make sense but oh well. Got accepted into ETH so not worried. Good luck to everyone else looking for grad school!",1,0.0,0.0,0
36,University Of Washington,Physics,PhD (F19),Rejected, E-mail,15 Mar 2019,3.3,156.0,153.0,4.0,630.0,A,15 Mar 2019,"Notification to check the website. 4 years of research in HE-ex, CME, and AMO (concurrently). Applied AMO. No pubs. LOR from Nobel Laureate and President of the company I work for. Veteran. Two degrees in physics and chemistry. Guess it's a numbers game. 1a/9r/0w",1,1.0,1.0,0
37,Penn State University,Physics,PhD (F19),Rejected, E-mail,15 Mar 2019,3.7,154.0,158.0,4.0,640.0,A,15 Mar 2019,,1,0.0,0.0,0
39,University Of Washington,Physics,PhD (F19),Rejected, E-mail,15 Mar 2019,3.94,155.0,165.0,4.0,680.0,A,15 Mar 2019,"Attend a small liberal arts college. Double major in math and physics. One international REU, no other research and no publications.",1,0.0,1.0,0
40,University Of Washington,Physics,PhD (F19),Rejected, E-mail,15 Mar 2019,3.7,154.0,158.0,4.0,640.0,A,15 Mar 2019,Expected,1,0.0,0.0,0
41,Columbia University,Physics,PhD (F19),Rejected, Website,15 Mar 2019,3.5,155.0,169.0,3.0,990.0,I,15 Mar 2019,"Finally declined by Columbia, feeling a little pity. I'm on cosmology, with no first author paper. Gap for a year. I should have worked harder. Now my application is ended, hope you guys all have a great Ph.D. life and brilliant future!",0,1.0,0.0,0
42,Columbia University,Physics,PhD (F19),Rejected, E-mail,15 Mar 2019,3.6,159.0,168.0,4.5,860.0,A,15 Mar 2019,AMO,1,0.0,0.0,0
44,New York University,Physics,PhD (F19),Rejected, E-mail,14 Mar 2019,3.52,160.0,169.0,3.5,990.0,I,14 Mar 2019,Email to check website. 2 publications,0,1.0,0.0,0
45,University Of Virginia,Physics,PhD (F19),Wait listed, Website,15 Mar 2019,3.39,156.0,158.0,3.5,660.0,A,14 Mar 2019,,1,0.0,0.0,0
46,Wake Forest University,Physics,PhD (F19),Wait listed, E-mail,14 Mar 2019,3.06,158.0,162.0,4.5,670.0,A,14 Mar 2019,"If accepting other offers, please be sure to decline once you know! Would very much like to attend here.",1,0.0,0.0,0
47,New York University ( NYU),Physics,PhD (F19),Rejected, Website,14 Mar 2019,3.7,153.0,170.0,3.5,990.0,U,14 Mar 2019,HEP-TH. Their loss!,0,0.0,0.0,0
48,New York University,Physics,PhD (F19),Rejected, Website,14 Mar 2019,3.9,162.0,162.0,4.0,850.0,A,14 Mar 2019,hep-th. Got email to check website to read a generic rejection letter.,1,0.0,0.0,0
49,University Of Texas At Austin,Physics,PhD (F19),Accepted, Website,14 Mar 2019,3.4,165.0,158.0,4.0,840.0,A,14 Mar 2019,"Hep-ex. Two and a half years of research experience, strong letters of rec. I intend to accept the offer.",1,0.0,1.0,1
50,Boston University,Physics,PhD (F19),Rejected, E-mail,14 Mar 2019,3.89,159.0,170.0,3.5,990.0,I,14 Mar 2019,No publications. No research experience. No acceptance. Simple as that.,0,1.0,1.0,0
52,New York University GSAS (NYU),Physics,PhD (F19),Rejected, E-mail,14 Mar 2019,3.64,159.0,165.0,4.0,860.0,I,13 Mar 2019,,0,0.0,0.0,0
53,Umass Lowell,Physics,PhD (F19),Accepted, E-mail,13 Mar 2019,3.24,157.0,169.0,4.0,590.0,A,13 Mar 2019,Astronomy and cosmology,1,0.0,0.0,1
54,McGill University,Physics,PhD (F19),Rejected, Other,13 Mar 2019,3.4,145.0,165.0,3.0,970.0,U,13 Mar 2019,"Contacted my POI and inquired about the status of my application and he said that my application couldn't make it. 
Got rejected from everywhere.",0,0.0,0.0,0
55,"University Of California, San Diego",Physics,PhD (F19),Rejected, E-mail,13 Mar 2019,3.63,156.0,163.0,4.0,570.0,A,13 Mar 2019,,1,0.0,0.0,0
56,UC San Diego (UCSD),Physics,PhD (F19),Rejected, E-mail,13 Mar 2019,3.3,156.0,153.0,4.0,630.0,A,13 Mar 2019,Late night email.  4 years of research in HE-ex and CME. Applied AMO. No pubs. LOR from Nobel Laureate and President of the company I work for. Veteran. Two degrees in physics and chemistry. Guess it's a numbers game.,1,1.0,1.0,0
57,UC San Diego,Physics,PhD (F19),Rejected, E-mail,13 Mar 2019,3.87,160.0,165.0,3.5,710.0,A,13 Mar 2019,,1,0.0,0.0,0
58,University Of Oregon,Physics,PhD (F19),Rejected, E-mail,12 Mar 2019,3.04,154.0,168.0,4.0,940.0,I,12 Mar 2019,"M.S. 3.60, 1 paper in PRE-Rapid communication",0,1.0,0.0,0
59,Tufts University,Physics,PhD (F19),Rejected, E-mail,12 Mar 2019,3.3,156.0,153.0,4.0,630.0,A,12 Mar 2019,Notification to check the website.  4 years of research in HE-ex and CME.  Applied AMO.  No pubs.  LOR from Nobel Laureate and President of the company I work for.  Veteran.  Two degrees in physics and chemistry.  Guess it's a numbers game.,1,1.0,1.0,0
60,University Of Rochester,Physics,PhD (F19),Rejected, Website,8 Mar 2019,2.7,163.0,165.0,4.5,910.0,I,12 Mar 2019,,0,0.0,0.0,0
61,Georgia Institute Of Technology,Physics,PhD (F19),Rejected, Website,8 Mar 2019,2.7,163.0,165.0,4.5,910.0,I,12 Mar 2019,,0,0.0,0.0,0
62,Columbia University,Physics,PhD (F19),Rejected, Website,9 Mar 2019,2.7,163.0,165.0,4.5,910.0,I,12 Mar 2019,Expected this again,0,0.0,0.0,0
63,University Of Chicago,Physics,PhD (F19),Rejected, Website,8 Feb 2019,2.7,163.0,165.0,4.5,910.0,I,12 Mar 2019,Expected this.,0,0.0,0.0,0
64,University Of Maryland Baltimore,Physics,PhD (F19),Wait listed, E-mail,10 Feb 2019,2.7,163.0,165.0,4.5,910.0,I,12 Mar 2019,MS GPA: 7.8/10 Research and programming experiences are a plus.,0,0.0,1.0,0
65,"University Of California, Merced",Physics,PhD (F19),Accepted, Website,8 Feb 2019,2.7,163.0,165.0,4.5,910.0,I,12 Mar 2019,MS GPA: 7.8/10 Research and programming experiences are a plus.,0,0.0,1.0,1
66,University Of Texas At Dallas,Physics,PhD (F19),Accepted, Website,6 Feb 2019,2.7,163.0,165.0,4.5,910.0,I,12 Mar 2019,MS GPA: 7.8/10 Research and programming experiences are a plus.,0,0.0,1.0,1
67,Columbia University (GSAS),Physics,PhD (F19),Rejected, Website,11 Mar 2019,3.7,153.0,170.0,3.5,990.0,U,11 Mar 2019,Email to check website. Hep-th. 9th/11 rejection with no single offer so far.,0,0.0,0.0,0
68,Columbia University,Physics,PhD (F19),Rejected, E-mail,11 Mar 2019,3.96,159.0,157.0,3.0,760.0,A,11 Mar 2019,Hep-th,1,0.0,0.0,0
69,University Of Oregon,Physics,PhD (F19),Wait listed, E-mail,11 Mar 2019,3.7,158.0,163.0,5.0,650.0,A,11 Mar 2019,HEP Ex. Strong research and LOR.,1,0.0,1.0,0
70,Columbia University,Physics,PhD (F19),Rejected, Website,11 Mar 2019,3.88,168.0,167.0,4.5,870.0,A,11 Mar 2019,"Hep th. Ivy undergrad (one of the better ones). Physics and math-cs double major, with 3.91 gpa. 2nd author theory pub. Strong letters. Lots of grad classes in math and physics, including qft 1 and 2. Rejected from all the top 10, but made it into top 15. I think my sub 900 gres are what did me, which is a shame because I know I underperformed. I had hoped admissions committees would forgive this, but they only have a handful of spots and the competition is ferocious. Overall I'm quite disappointed -- mainly with myself -- but at least now there's no more uncertainty. Time to shake the salt and commit to this reality. Best of luck to everyone else here.",1,1.0,0.0,0
71,Columbia University,Physics,PhD (F19),Rejected, E-mail,11 Mar 2019,3.67,165.0,157.0,4.0,910.0,I,11 Mar 2019,HEP-ex.,0,0.0,0.0,0
73,Georgia State University (GSU),Physics And Astronomy,PhD (F19),Rejected, E-mail,11 Mar 2019,3.13,149.0,167.0,3.5,930.0,I,11 Mar 2019,Received an unofficial email stating that they have decided to focus on solar physics. So they have less space for other subjects including my research area.,0,0.0,1.0,0
75,UIUC,Physics,PhD (F19),Rejected, E-mail,8 Mar 2019,3.52,160.0,169.0,3.5,990.0,I,8 Mar 2019,Apply for CME/CMT. Two 1-st author publications. Finally get the rejection. Now I can make my decision.,0,1.0,0.0,0
76,University Of Rochester,Physics,PhD (F19),Rejected, Website,9 Mar 2019,3.2,163.0,170.0,4.0,980.0,I,8 Mar 2019,"Low GPA. But 1st author publication in a top journal, with bigshot coauthors (who also gave strong LoRs). Got accepted in one of the Max Planck institutes, but not Rochester. You keep doing you, US.  Grades >> everything else.",0,1.0,0.0,0
77,Wake Forest University,Physics,PhD (F19),Accepted, E-mail,9 Mar 2019,3.78,163.0,168.0,3.5,740.0,A,8 Mar 2019,"2 semesters research, 1 semester tutoring, no papers.  Will study CMT. Still waiting to hear from 4 of 8 schools (rejected by Duke and WI).",1,0.0,1.0,1
78,University Of Michigan,Applied Physics,PhD (F19),Rejected, E-mail,8 Mar 2019,3.3,156.0,153.0,4.0,630.0,A,8 Mar 2019,"I'm all out of faith, this is how I feel.  I'm cold and I am shamed lying naked on the floor.  Illusion never changed into something real.  I'm wide awake and I can see the perfect sky is torn.",1,0.0,0.0,0
80,George Mason University,Physics,PhD (F19),Accepted, E-mail,8 Mar 2019,3.58,159.0,160.0,4.0,610.0,A,8 Mar 2019,"CMT, one 1st author pub in Phys. Rev. B, 3 yrs research with prof, good LORs, teaching exp, the GPA is a Masters.
Unofficial acceptance so far, from dept., TAship.",1,1.0,1.0,1
81,City University Of New York (CUNY),Physics,PhD (F19),Accepted, Phone,8 Mar 2019,3.3,155.0,168.0,5.0,820.0,U,8 Mar 2019,"Yes, I believe so. Official email will be sent out in a week. Maybe we are in different lists. This is by the way my first choice over any other I've applied before, I don't care if it's hardvard or standford, I have my reasons to choose this one.",0,0.0,0.0,1
82,City College Of New York,Physics,PhD (F19),Accepted, Phone,8 Mar 2019,3.3,155.0,168.0,5.0,820.0,U,8 Mar 2019,"Yes, I believe so. Official email will be sent out in a week. Maybe we are in different lists. This is by the way my first choice over any other I've applied before, I don't care if it's hardvard or standford, I have my reasons to choose this one.",0,0.0,0.0,1
83,City University Of New York (CUNY),Physics,PhD (F19),Accepted, Phone,5 Mar 2019,3.3,155.0,168.0,5.0,820.0,U,8 Mar 2019,Unofficially accepted. I was flattered to hear that I made the shortlist and it seems the phone interview was just a routine. There's no need to prepare for it I believe.,0,0.0,0.0,1
84,Univesity Of Illinois- Urbana-Champaign (UIUC),Physics,PhD (F19),Rejected, E-mail,8 Mar 2019,3.84,166.0,168.0,5.0,840.0,A,8 Mar 2019,"Rejected from first and last choice program now.  In each case they say ""record number of applicants.""  I wonder if that's true or just some platitude.",1,0.0,0.0,0
85,Ohio State University,Physics,PhD (F19),Wait listed, E-mail,8 Mar 2019,3.8,170.0,149.0,3.5,990.0,I,7 Mar 2019,CMT. Please decline your offer if you have a better one.  I really appreciate it.,0,0.0,0.0,0
86,Case Western Reserve University,Physics,PhD (F19),Rejected, Website,28 Feb 2019,3.01,165.0,162.0,4.5,770.0,A,7 Mar 2019,"Master's degree with GPA of 3.56. Fairly certain the most relevant research advisors just had zero space for me, so no hard feelings",1,0.0,1.0,0
87,Ohio State University,Physics,PhD (F19),Wait listed, E-mail,7 Mar 2019,3.9,159.0,168.0,4.0,970.0,I,7 Mar 2019,,0,0.0,0.0,0
88,University Of Florida,Physics,PhD (F19),Accepted, E-mail,25 Feb 2019,3.36,156.0,165.0,5.0,820.0,I,7 Mar 2019,"The grad chair replied to my e-mail saying that the phy dept recommends me for admission, but my application is currently 
under review by the UF admission office to verify that all official docu*ents are present. No official offer letter yet.",0,0.0,0.0,1
89,University Of Rochester,Physics,PhD (F19),Rejected, E-mail,6 Mar 2019,3.8,135.0,146.0,2.5,500.0,I,7 Mar 2019,I received the 1st rejection letter yesterday. Although I did not expect to get offer here due to my  low GRE score. I will try in next fall.,0,0.0,0.0,0
90,Brown University,Physics,PhD (F19),Accepted, Website,21 Feb 2019,3.92,157.0,154.0,4.0,730.0,A,6 Mar 2019,"CME. No publications. Strong LOR (one from Brown alumni). Very strong research experience, particularly in experimental work relevant to CME. Visited twice and collaborated with potential advisor.",1,1.0,1.0,1
91,West Virginia University,Physics,PhD (F19),Accepted, E-mail,4 Mar 2019,3.1,158.0,159.0,4.0,610.0,A,6 Mar 2019,"I got notified about being put on a ""short list"" on February 27 and asked to interview the following day. I received an official letter of admission from the department the following Monday.",1,0.0,0.0,1
92,University Of New Mexico,Physics,PhD (F19),Accepted, E-mail,28 Feb 2019,3.1,158.0,159.0,4.0,610.0,A,6 Mar 2019,"I was initially rejected from Physics, but I got a follow up email in about 2 weeks that I was accepted for the Optical Science and Engineering PhD program. I did not apply directly to this, but since the faculty I wanted to work with overlap with this program, they offered me a position.",1,0.0,0.0,1
93,University Of Rochester,Physics And Astronomy,PhD (F19),Rejected, E-mail,6 Mar 2019,3.13,149.0,167.0,3.5,930.0,I,6 Mar 2019,Email to check the website. I expected that! :),0,0.0,0.0,0
94,University Of Rochester,Physics,PhD (F19),Rejected, E-mail,6 Mar 2019,3.84,166.0,168.0,5.0,840.0,A,6 Mar 2019,,1,0.0,0.0,0
95,University Of Delaware (UDel),Physics,PhD (F19),Accepted, E-mail,6 Mar 2019,3.97,159.0,168.0,4.0,950.0,A,6 Mar 2019,AMO/CM Theory. Received Email to check application status on website.,1,0.0,0.0,1
96,University At Buffalo,Physics,PhD (F19),Wait listed, E-mail,6 Mar 2019,2.88,160.0,163.0,4.0,755.0,O,6 Mar 2019,Hope I get this at least. Fingers crossed.,0,0.0,0.0,0
97,University At Buffalo,Physics,PhD (F19),Wait listed, E-mail,6 Mar 2019,2.88,160.0,163.0,4.0,755.0,O,6 Mar 2019,Hope I get this at least. Fingers crossed.,0,0.0,0.0,0
99,"University Of Californa, Los Angeles (UCLA)",Physics,PhD (F19),Other, Other,6 Mar 2019,3.94,164.0,163.0,5.0,750.0,A,6 Mar 2019,To those accepted at UCLA yesterday and today â how exactly were you notified? Email from PI? Email to check website? or email with an enclosed offer letter? Thank you for any additional info you can give!:),1,0.0,0.0,0
102,"University Of Californa, Los Angeles (UCLA)",Physics,PhD (F19),Accepted, E-mail,6 Mar 2019,3.62,159.0,170.0,3.5,950.0,U,6 Mar 2019,"CME, 3 years of research, 1 paper published, 1 paper submitted.
First admission after 9 rejection.
So Excited!!",0,1.0,1.0,1
103,Iowa State University,Physics And Astronomy,PhD (F19),Accepted, E-mail,5 Mar 2019,3.2,157.0,168.0,4.5,830.0,A,5 Mar 2019,,1,0.0,0.0,1
104,Brandeis University,Physics,PhD (F19),Accepted, E-mail,27 Feb 2019,3.12,163.0,169.0,4.5,800.0,A,5 Mar 2019,,1,0.0,0.0,1
105,Tufts University,Physics,PhD (F19),Accepted, E-mail,16 Feb 2019,3.12,163.0,169.0,4.5,800.0,A,5 Mar 2019,,1,0.0,0.0,1
106,"University Of California, Davis",Physics,PhD (F19),Rejected, E-mail,5 Mar 2019,3.84,166.0,168.0,5.0,840.0,A,5 Mar 2019,3/20 decisions.  No acceptances yet.,1,0.0,0.0,0
107,"University Of California, Davis",Physics,PhD (F19),Rejected, Other,5 Mar 2019,3.94,164.0,163.0,5.0,750.0,A,5 Mar 2019,Had to personally reject out to previously contacted PIs (hep-th),1,0.0,0.0,0
110,Iowa State University,Physics,PhD (F19),Accepted, E-mail,4 Mar 2019,3.87,160.0,165.0,3.5,710.0,A,5 Mar 2019,,1,0.0,0.0,1
111,Johns Hopkins University,Physics,PhD (F19),Rejected, E-mail,5 Mar 2019,3.97,154.0,169.0,3.0,950.0,I,4 Mar 2019,,0,0.0,0.0,0
112,Iowa State University,Physics,PhD (F19),Accepted, E-mail,4 Mar 2019,3.5,152.0,158.0,4.0,740.0,A,4 Mar 2019,"Recommended for admission, will be sent offer soon",1,0.0,0.0,1
113,Kent State University,Physics,PhD (F19),Rejected, E-mail,4 Mar 2019,3.58,159.0,160.0,4.0,610.0,A,4 Mar 2019,"Email to check website.  CMT, one 1st author pub in Phys. Rev. B, 3 yrs research with prof, good LORs, teaching exp, the GPA is a Masters.",1,1.0,1.0,0
114,Virginia Tech,Physics,PhD (F19),Rejected, E-mail,22 Feb 2019,3.94,164.0,163.0,5.0,750.0,A,4 Mar 2019,"To the poster below: I received quite possibly the most thoughtful, personal, and professional rejection letter from the Virginia Tech string theory/ hep-th group. This group is amazing â not just 1/2, but all members of the group responded multiple times last semester in regards to my interest in their work/the group, and this rejection letter confirms my opinion of them. This rejection hurt so much because of this. I freakin love them haha!",1,0.0,0.0,0
115,University Of Pennsylvania,Physics,PhD (F19),Rejected, E-mail,4 Mar 2019,3.94,164.0,163.0,5.0,750.0,A,3 Mar 2019,To the poster below: I didn't receive status notification. I reached out to the specific PIs I was interested in working under and they let me know I was not given a spot personally.,1,0.0,0.0,0
117,University Of Michigan,Physics,PhD (F19),Rejected, E-mail,12 Feb 2019,3.53,165.0,160.0,4.0,720.0,A,3 Mar 2019,"Interested in Condensed Matter Physics, especially theory and computation. 1.5 years of research in condensed matter. Double major in math and physics and at least one strong letter of recommendation.",1,0.0,1.0,0
118,"University Of California, Berkeley",Physics,PhD (F19),Rejected, Website,15 Feb 2019,3.53,165.0,160.0,4.0,720.0,A,3 Mar 2019,"Interested in Condensed Matter Physics, especially theory and computation. 1.5 years of research in condensed matter. Double major in math and physics and at least one strong letter of recommendation.",1,0.0,1.0,0
119,UC Santa Barbara (UCSB),Physics,PhD (F19),Rejected, Website,26 Feb 2019,3.53,165.0,160.0,4.0,720.0,A,3 Mar 2019,"Interested in Condensed Matter Physics, especially theory and computation. 1.5 years of research in condensed matter. Double major in math and physics and at least one strong letter of recommendation.",1,0.0,1.0,0
120,Princeton University,Physics,PhD (F19),Rejected, E-mail,12 Feb 2019,3.53,165.0,160.0,4.0,720.0,A,3 Mar 2019,"Interested in Condensed Matter Physics, especially theory and computation. 1.5 years of research in condensed matter. Double major in math and physics, and at least one strong letter of recommendation.",1,0.0,1.0,0
121,Georgia Institute Of Technology (Georgia Tech),Physics,PhD (F19),Accepted, E-mail,13 Feb 2019,3.53,165.0,160.0,4.0,720.0,A,3 Mar 2019,"Interested in Condensed Matter Physics, especially theory and computation. 1.5 years of research in condensed matter. Double major in math and physics and at least one strong letter of recommendation.",1,0.0,1.0,1
122,"University Of Californa, Los Angeles (UCLA)",Physics,PhD (F19),Accepted, E-mail,22 Feb 2019,3.53,165.0,160.0,4.0,720.0,A,3 Mar 2019,"Interested in Condensed Matter Physics, especially theory and computation. 1.5 years of research in condensed matter. Double major in math and physics and at least one strong letter of recommendation.",1,0.0,1.0,1
123,Louisiana State University (LSU),Physics,PhD (F19),Accepted, E-mail,5 Feb 2019,3.53,165.0,160.0,4.0,720.0,A,3 Mar 2019,"Interested in Condensed Matter Physics, especially theory and computation. 1.5 years of research in condensed matter. Double major in math and physics and at least one strong letter of recommendation.",1,0.0,1.0,1
126,New York University GSAS (NYU),Physics,PhD (F19),Accepted, E-mail,27 Feb 2019,3.8,162.0,165.0,5.0,640.0,A,2 Mar 2019,Admitted with a McCracken Fellowship. I can attest to the posters below that I was admitted without an interview.,1,0.0,0.0,1
